manufacturer,gland_model,gland_size,entry_thread,sealing_type,armour_compatibility,environment,ex_rating,material,min_cable_dia_mm,max_cable_dia_mm,ordering_reference
CMP,A2,20S16,M20,Single Seal,Unarmoured,Industrial / Safe,,Brass,3.2,8.7,20S16A21RA
CMP,A2,20S16,M20,Single Seal,Unarmoured,Industrial / Safe,,Nickel Plated Brass,3.2,8.7,20S16A21RA5
CMP,A2,20S16,M20,Single Seal,Unarmoured,Industrial / Safe,,Stainless Steel,3.2,8.7,20S16A21RA4
CMP,A2,20S16,M20,Single Seal,Unarmoured,Industrial / Safe,,Aluminium,3.2,8.7,20S16A21RA1
CMP,A2,20S,M20,Single Seal,Unarmoured,Industrial / Safe,,Brass,6.1,11.7,20SA21RA
CMP,A2,20S,M20,Single Seal,Unarmoured,Industrial / Safe,,Nickel Plated Brass,6.1,11.7,20SA21RA5
CMP,A2,20S,M20,Single Seal,Unarmoured,Industrial / Safe,,Stainless Steel,6.1,11.7,20SA21RA4
CMP,A2,20S,M20,Single Seal,Unarmoured,Industrial / Safe,,Aluminium,6.1,11.7,20SA21RA1
CMP,A2,20,M20,Single Seal,Unarmoured,Industrial / Safe,,Brass,6.5,14.0,20A21RA
CMP,A2,20,M20,Single Seal,Unarmoured,Industrial / Safe,,Nickel Plated Brass,6.5,14.0,20A21RA5
CMP,A2,20,M20,Single Seal,Unarmoured,Industrial / Safe,,Stainless Steel,6.5,14.0,20A21RA4
CMP,A2,20,M20,Single Seal,Unarmoured,Industrial / Safe,,Aluminium,6.5,14.0,20A21RA1
CMP,A2,25,M25,Single Seal,Unarmoured,Industrial / Safe,,Brass,11.1,20.0,25A21RA
CMP,A2,25,M25,Single Seal,Unarmoured,Industrial / Safe,,Nickel Plated Brass,11.1,20.0,25A21RA5
CMP,A2,25,M25,Single Seal,Unarmoured,Industrial / Safe,,Stainless Steel,11.1,20.0,25A21RA4
CMP,A2,25,M25,Single Seal,Unarmoured,Industrial / Safe,,Aluminium,11.1,20.0,25A21RA1
CMP,A2,32,M32,Single Seal,Unarmoured,Industrial / Safe,,Brass,17.0,26.3,32A21RA
CMP,A2,32,M32,Single Seal,Unarmoured,Industrial / Safe,,Nickel Plated Brass,17.0,26.3,32A21RA5
CMP,A2,32,M32,Single Seal,Unarmoured,Industrial / Safe,,Stainless Steel,17.0,26.3,32A21RA4
CMP,A2,32,M32,Single Seal,Unarmoured,Industrial / Safe,,Aluminium,17.0,26.3,32A21RA1
CMP,A2,40,M40,Single Seal,Unarmoured,Industrial / Safe,,Brass,23.5,32.2,40A21RA
CMP,A2,40,M40,Single Seal,Unarmoured,Industrial / Safe,,Nickel Plated Brass,23.5,32.2,40A21RA5
CMP,A2,40,M40,Single Seal,Unarmoured,Industrial / Safe,,Stainless Steel,23.5,32.2,40A21RA4
CMP,A2,40,M40,Single Seal,Unarmoured,Industrial / Safe,,Aluminium,23.5,32.2,40A21RA1
CMP,A2,50S,M50,Single Seal,Unarmoured,Industrial / Safe,,Brass,31.0,38.2,50SA21RA
CMP,A2,50S,M50,Single Seal,Unarmoured,Industrial / Safe,,Nickel Plated Brass,31.0,38.2,50SA21RA5
CMP,A2,50S,M50,Single Seal,Unarmoured,Industrial / Safe,,Stainless Steel,31.0,38.2,50SA21RA4
CMP,A2,50S,M50,Single Seal,Unarmoured,Industrial / Safe,,Aluminium,31.0,38.2,50SA21RA1
CMP,A2,50,M50,Single Seal,Unarmoured,Industrial / Safe,,Brass,35.6,44.0,50A21RA
CMP,A2,50,M50,Single Seal,Unarmoured,Industrial / Safe,,Nickel Plated Brass,35.6,44.0,50A21RA5
CMP,A2,50,M50,Single Seal,Unarmoured,Industrial / Safe,,Stainless Steel,35.6,44.0,50A21RA4
CMP,A2,50,M50,Single Seal,Unarmoured,Industrial / Safe,,Aluminium,35.6,44.0,50A21RA1
CMP,A2,63S,M63,Single Seal,Unarmoured,Industrial / Safe,,Brass,41.5,49.9,63SA21RA
CMP,A2,63S,M63,Single Seal,Unarmoured,Industrial / Safe,,Nickel Plated Brass,41.5,49.9,63SA21RA5
CMP,A2,63S,M63,Single Seal,Unarmoured,Industrial / Safe,,Stainless Steel,41.5,49.9,63SA21RA4
CMP,A2,63S,M63,Single Seal,Unarmoured,Industrial / Safe,,Aluminium,41.5,49.9,63SA21RA1
CMP,A2,63,M63,Single Seal,Unarmoured,Industrial / Safe,,Brass,47.2,55.9,63A21RA
CMP,A2,63,M63,Single Seal,Unarmoured,Industrial / Safe,,Nickel Plated Brass,47.2,55.9,63A21RA5
CMP,A2,63,M63,Single Seal,Unarmoured,Industrial / Safe,,Stainless Steel,47.2,55.9,63A21RA4
CMP,A2,63,M63,Single Seal,Unarmoured,Industrial / Safe,,Aluminium,47.2,55.9,63A21RA1
CMP,A2,75S,M75,Single Seal,Unarmoured,Industrial / Safe,,Brass,54.0,61.9,75SA21RA
CMP,A2,75S,M75,Single Seal,Unarmoured,Industrial / Safe,,Nickel Plated Brass,54.0,61.9,75SA21RA5
CMP,A2,75S,M75,Single Seal,Unarmoured,Industrial / Safe,,Stainless Steel,54.0,61.9,75SA21RA4
CMP,A2,75S,M75,Single Seal,Unarmoured,Industrial / Safe,,Aluminium,54.0,61.9,75SA21RA1
CMP,A2,75,M75,Single Seal,Unarmoured,Industrial / Safe,,Brass,61.1,67.9,75A21RA
CMP,A2,75,M75,Single Seal,Unarmoured,Industrial / Safe,,Nickel Plated Brass,61.1,67.9,75A21RA5
CMP,A2,75,M75,Single Seal,Unarmoured,Industrial / Safe,,Stainless Steel,61.1,67.9,75A21RA4
CMP,A2,75,M75,Single Seal,Unarmoured,Industrial / Safe,,Aluminium,61.1,67.9,75A21RA1
CMP,A2,90,M90,Single Seal,Unarmoured,Industrial / Safe,,Brass,66.6,79.9,90A21RA
CMP,A2,90,M90,Single Seal,Unarmoured,Industrial / Safe,,Nickel Plated Brass,66.6,79.9,90A21RA5
CMP,A2,90,M90,Single Seal,Unarmoured,Industrial / Safe,,Stainless Steel,66.6,79.9,90A21RA4
CMP,A2,90,M90,Single Seal,Unarmoured,Industrial / Safe,,Aluminium,66.6,79.9,90A21RA1
CMP,A2,100,M100,Single Seal,Unarmoured,Industrial / Safe,,Brass,76.0,91.0,100A21RA
CMP,A2,100,M100,Single Seal,Unarmoured,Industrial / Safe,,Nickel Plated Brass,76.0,91.0,100A21RA5
CMP,A2,100,M100,Single Seal,Unarmoured,Industrial / Safe,,Stainless Steel,76.0,91.0,100A21RA4
CMP,A2,100,M100,Single Seal,Unarmoured,Industrial / Safe,,Aluminium,76.0,91.0,100A21RA1
CMP,A2,115,M115,Single Seal,Unarmoured,Industrial / Safe,,Brass,86.0,97.9,115A21RA
CMP,A2,115,M115,Single Seal,Unarmoured,Industrial / Safe,,Nickel Plated Brass,86.0,97.9,115A21RA5
CMP,A2,115,M115,Single Seal,Unarmoured,Industrial / Safe,,Stainless Steel,86.0,97.9,115A21RA4
CMP,A2,115,M115,Single Seal,Unarmoured,Industrial / Safe,,Aluminium,86.0,97.9,115A21RA1
CMP,A2,130,M130,Single Seal,Unarmoured,Industrial / Safe,,Brass,97.0,114.9,130A21RA
CMP,A2,130,M130,Single Seal,Unarmoured,Industrial / Safe,,Nickel Plated Brass,97.0,114.9,130A21RA5
CMP,A2,130,M130,Single Seal,Unarmoured,Industrial / Safe,,Stainless Steel,97.0,114.9,130A21RA4
CMP,A2,130,M130,Single Seal,Unarmoured,Industrial / Safe,,Aluminium,97.0,114.9,130A21RA1
CMP,CW,20S16,M20,Single Seal,SWA,Industrial / Safe,,Brass,6.1,13.1,20S16CW1RA
CMP,CW,20S16,M20,Single Seal,SWA,Industrial / Safe,,Nickel Plated Brass,6.1,13.1,20S16CW1RA5
CMP,CW,20S16,M20,Single Seal,SWA,Industrial / Safe,,Stainless Steel,6.1,13.1,20S16CW1RA4
CMP,CW,20S16,M20,Single Seal,SWA,Industrial / Safe,,Aluminium,6.1,13.1,20S16CW1RA1
CMP,CW,20S,M20,Single Seal,SWA,Industrial / Safe,,Brass,9.5,15.9,20SCW1RA
CMP,CW,20S,M20,Single Seal,SWA,Industrial / Safe,,Nickel Plated Brass,9.5,15.9,20SCW1RA5
CMP,CW,20S,M20,Single Seal,SWA,Industrial / Safe,,Stainless Steel,9.5,15.9,20SCW1RA4
CMP,CW,20S,M20,Single Seal,SWA,Industrial / Safe,,Aluminium,9.5,15.9,20SCW1RA1
CMP,CW,20,M20,Single Seal,SWA,Industrial / Safe,,Brass,12.5,20.9,20CW1RA
CMP,CW,20,M20,Single Seal,SWA,Industrial / Safe,,Nickel Plated Brass,12.5,20.9,20CW1RA5
CMP,CW,20,M20,Single Seal,SWA,Industrial / Safe,,Stainless Steel,12.5,20.9,20CW1RA4
CMP,CW,20,M20,Single Seal,SWA,Industrial / Safe,,Aluminium,12.5,20.9,20CW1RA1
CMP,CW,25S,M25,Single Seal,SWA,Industrial / Safe,,Brass,14.0,22.0,25SCW1RA
CMP,CW,25S,M25,Single Seal,SWA,Industrial / Safe,,Nickel Plated Brass,14.0,22.0,25SCW1RA5
CMP,CW,25S,M25,Single Seal,SWA,Industrial / Safe,,Stainless Steel,14.0,22.0,25SCW1RA4
CMP,CW,25S,M25,Single Seal,SWA,Industrial / Safe,,Aluminium,14.0,22.0,25SCW1RA1
CMP,CW,25,M25,Single Seal,SWA,Industrial / Safe,,Brass,18.2,26.2,25CW1RA
CMP,CW,25,M25,Single Seal,SWA,Industrial / Safe,,Nickel Plated Brass,18.2,26.2,25CW1RA5
CMP,CW,25,M25,Single Seal,SWA,Industrial / Safe,,Stainless Steel,18.2,26.2,25CW1RA4
CMP,CW,25,M25,Single Seal,SWA,Industrial / Safe,,Aluminium,18.2,26.2,25CW1RA1
CMP,CW,32,M32,Single Seal,SWA,Industrial / Safe,,Brass,23.7,33.9,32CW1RA
